date_time,date,time,irradiance,ambient_temp,wind_speed
2020-08-24 07:45:00+05:30,24-08-2020,07:45:00,0,27.61,7.64
2020-08-24 07:50:00+05:30,24-08-2020,07:50:00,0,27.62,7.76
2020-08-24 07:55:00+05:30,24-08-2020,07:55:00,0,27.62,7.87
2020-08-24 08:00:00+05:30,24-08-2020,08:00:00,0,27.62,7.99
2020-08-24 08:05:00+05:30,24-08-2020,08:05:00,0,27.63,8.1
2020-08-24 08:10:00+05:30,24-08-2020,08:10:00,0,27.63,8.22
2020-08-24 08:15:00+05:30,24-08-2020,08:15:00,0,27.64,8.33
2020-08-24 08:20:00+05:30,24-08-2020,08:20:00,0,27.64,8.44
2020-08-24 08:25:00+05:30,24-08-2020,08:25:00,0,27.65,8.56
2020-08-24 08:30:00+05:30,24-08-2020,08:30:00,7,27.65,8.67
2020-08-24 08:35:00+05:30,24-08-2020,08:35:00,7,27.65,8.62
2020-08-24 08:40:00+05:30,24-08-2020,08:40:00,7,27.65,8.57
2020-08-24 08:45:00+05:30,24-08-2020,08:45:00,7,27.65,8.52
2020-08-24 08:50:00+05:30,24-08-2020,08:50:00,7,27.65,8.46
2020-08-24 08:55:00+05:30,24-08-2020,08:55:00,7,27.65,8.41
2020-08-24 09:00:00+05:30,24-08-2020,09:00:00,7,27.65,8.36
2020-08-24 09:05:00+05:30,24-08-2020,09:05:00,7,27.65,8.31
2020-08-24 09:10:00+05:30,24-08-2020,09:10:00,7,27.65,8.25
2020-08-24 09:15:00+05:30,24-08-2020,09:15:00,7,27.65,8.2
2020-08-24 09:20:00+05:30,24-08-2020,09:20:00,7,27.65,8.15
2020-08-24 09:25:00+05:30,24-08-2020,09:25:00,7,27.65,8.1
2020-08-24 09:30:00+05:30,24-08-2020,09:30:00,14,27.65,8.05
2020-08-24 09:35:00+05:30,24-08-2020,09:35:00,14,27.66,8.1
2020-08-24 09:40:00+05:30,24-08-2020,09:40:00,14,27.67,8.15
2020-08-24 09:45:00+05:30,24-08-2020,09:45:00,14,27.68,8.21
2020-08-24 09:50:00+05:30,24-08-2020,09:50:00,14,27.68,8.26
2020-08-24 09:55:00+05:30,24-08-2020,09:55:00,14,27.69,8.32
2020-08-24 10:00:00+05:30,24-08-2020,10:00:00,14,27.7,8.37
2020-08-24 10:05:00+05:30,24-08-2020,10:05:00,14,27.71,8.43
2020-08-24 10:10:00+05:30,24-08-2020,10:10:00,14,27.72,8.48
2020-08-24 10:15:00+05:30,24-08-2020,10:15:00,14,27.73,8.53
2020-08-24 10:20:00+05:30,24-08-2020,10:20:00,14,27.74,8.59
2020-08-24 10:25:00+05:30,24-08-2020,10:25:00,14,27.74,8.64
2020-08-24 10:30:00+05:30,24-08-2020,10:30:00,30,27.75,8.7
2020-08-24 10:35:00+05:30,24-08-2020,10:35:00,30,27.73,8.96
2020-08-24 10:40:00+05:30,24-08-2020,10:40:00,30,27.7,9.23
2020-08-24 10:45:00+05:30,24-08-2020,10:45:00,30,27.68,9.49
2020-08-24 10:50:00+05:30,24-08-2020,10:50:00,30,27.65,9.75
2020-08-24 10:55:00+05:30,24-08-2020,10:55:00,30,27.63,10.02
2020-08-24 11:00:00+05:30,24-08-2020,11:00:00,30,27.6,10.28
2020-08-24 11:05:00+05:30,24-08-2020,11:05:00,30,27.58,10.55
2020-08-24 11:10:00+05:30,24-08-2020,11:10:00,30,27.55,10.81
2020-08-24 11:15:00+05:30,24-08-2020,11:15:00,30,27.53,11.08
2020-08-24 11:20:00+05:30,24-08-2020,11:20:00,30,27.5,11.34
2020-08-24 11:25:00+05:30,24-08-2020,11:25:00,30,27.48,11.6
2020-08-24 11:30:00+05:30,24-08-2020,11:30:00,30,27.45,11.87
2020-08-24 11:35:00+05:30,24-08-2020,11:35:00,30,27.48,11.88
2020-08-24 11:40:00+05:30,24-08-2020,11:40:00,30,27.52,11.89
2020-08-24 11:45:00+05:30,24-08-2020,11:45:00,30,27.55,11.9
2020-08-24 11:50:00+05:30,24-08-2020,11:50:00,30,27.58,11.91
2020-08-24 11:55:00+05:30,24-08-2020,11:55:00,30,27.62,11.92
2020-08-24 12:00:00+05:30,24-08-2020,12:00:00,30,27.65,11.93
2020-08-25 06:05:00+05:30,25-08-2020,06:05:00,0,26.82,7.89
2020-08-25 06:10:00+05:30,25-08-2020,06:10:00,0,26.8,7.91
2020-08-25 06:15:00+05:30,25-08-2020,06:15:00,0,26.78,7.94
2020-08-25 06:20:00+05:30,25-08-2020,06:20:00,0,26.77,7.96
2020-08-25 06:25:00+05:30,25-08-2020,06:25:00,0,26.75,7.99
2020-08-25 06:30:00+05:30,25-08-2020,06:30:00,0,26.74,8.01
2020-08-25 06:35:00+05:30,25-08-2020,06:35:00,0,26.77,8.06
2020-08-25 06:40:00+05:30,25-08-2020,06:40:00,0,26.81,8.12
2020-08-25 06:45:00+05:30,25-08-2020,06:45:00,0,26.85,8.17
2020-08-25 06:50:00+05:30,25-08-2020,06:50:00,0,26.89,8.23
